SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismID	NumberSamples	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_BioSampleID	SRA_ExperimentID	ReferencePaper	DOI
Aotus_nancymaae_0	AONA0	0	SRA	PE	Aotus_nancymaae	1		PRJNA280454	SRR1981991	SAMN03464295	SRX1000889	NoReferencePaper	
Archocentrus_centrarchus_0	ARCE0	0	SRA	PE	Archocentrus_centrarchus	3		PRJEB32048	ERR3264108	SAMEA5552187	ERX3290752	Harer_Torres-Dowdall_2018_ConvergentPhenotypicEvolution	https://doi.org/10.1002/evl3.71
Archocentrus_centrarchus_1	ARCE1	1	SRA	PE	Archocentrus_centrarchus	3		PRJEB32048	ERR3264147	SAMEA5552226	ERX3290791	Harer_Torres-Dowdall_2018_ConvergentPhenotypicEvolution	https://doi.org/10.1002/evl3.71
Archocentrus_centrarchus_2	ARCE2	2	SRA	PE	Archocentrus_centrarchus	3		PRJEB32048	ERR3264123	SAMEA5552202	ERX3290767	Harer_Torres-Dowdall_2018_ConvergentPhenotypicEvolution	https://doi.org/10.1002/evl3.71
Asio_flammeus_0	ASFL0	0	SRA	PE	Asio_flammeus	1		PRJNA497817	SRR8083917	SAMN10266704	SRX4910961	Hoglund_Strandh_2019_OwlsLackUVsensitive	https://doi.org/10.1016/j.visres.2019.02.005
Asio_otus_0	ASOT0	0	SRA	PE	Asio_otus	2		PRJNA314290	SRR3203220	SAMN04531183	SRX1612722	NoReferencePaper	
Asio_otus_1	ASOT1	1	SRA	PE	Asio_otus	2		PRJNA497817	SRR8083916	SAMN10266705	SRX4910962	Hoglund_Strandh_2019_OwlsLackUVsensitive	https://doi.org/10.1016/j.visres.2019.02.005
Athene_noctua_0	ATNO0	0	SRA	PE	Athene_noctua	1		PRJNA314290	SRR3203242	SAMN04531386	SRX1612744	NoReferencePaper	
Aulonocara_baenschi_0	AUBA0	0	SRA	SE	Aulonocara_baenschi	1		PRJNA551471	SRR9620879	SAMN12150411	SRX6383884	Sandkam_Carleton_2020_Tbx2aModulatesSwitching	https://doi.org/10.1093/molbev/msaa062
Balaena_mysticetus_0	BAMY0	0	SRA	PE	Balaena_mysticetus	1		PRJNA194091	SRR1685417	SAMN03225712	SRX790350	Keane_DeMagalhaes_2015_InsightsEvolutionLongevity	https://doi.org/10.1016/j.celrep.2014.12.008
Bos_taurus_0	BOTA0	0	Mine	PE	Bos_taurus	3	R42019-251						
Bos_taurus_1	BOTA1	1	Mine	PE	Bos_taurus	3	R42019-252						
Bos_taurus_2	BOTA2	2	Mine	PE	Bos_taurus	3	R42019-253						
Branchiostoma_floridae_0	BRFL0	0	Mine	PE	Branchiostoma_floridae	3	R42019-298						
Branchiostoma_floridae_1	BRFL1	1	Mine	PE	Branchiostoma_floridae	3	R42019-299						
Branchiostoma_floridae_2	BRFL2	2	Mine	PE	Branchiostoma_floridae	3	R42019-300						
Bubo_bubo_0	BUBU0	0	SRA	PE	Bubo_bubo	1		PRJNA314290	SRR3203225	SAMN04531374	SRX1612728	NoReferencePaper	
Bubo_virginianus_0	BUVI0	0	Mine	PE	Bubo_virginianus	1	R42019-286						
Butastur_indicus_0	BUIN0	0	SRA	PE	Butastur_indicus	1		PRJNA314290	SRR3203233	SAMN04531381	SRX1612736	NoReferencePaper	
Buteo_jamaicensis_0	BUJA0	0	Mine	PE	Buteo_jamaicensis	1	R42019-285						
Cairina_moschata_0	CAMO0	0	SRA	PE	Cairina_moschata	1		PRJNA419616	SRR6367500	SAMN08434997	SRX3462961	NoReferencePaper	
Callithrix_jacchus_0	CAJA0	0	SRA	PE	Callithrix_jacchus	3		PRJDB9547	DRR220046	SAMD00213357	DRX210359	NoReferencePaper	
Callithrix_jacchus_1	CAJA1	1	SRA	PE	Callithrix_jacchus	3		PRJNA397900	SRR5928356	SAMN07495412	SRX3088671	NoReferencePaper	
Callithrix_jacchus_2	CAJA2	2	SRA	PE	Callithrix_jacchus	3		PRJNA397900	SRR5928353	SAMN07495419	SRX3088674	NoReferencePaper	
Canis_familiaris_0	CAFA0	0	SRA	SE	Canis_familiaris	5		PRJNA382537	SRR5443381	SAMN06708674	SRX2732744	Sudharsan_Beltran_2017_InvolvementInnateImmune	https://doi.org/10.1038/s41598-017-18236-7
Canis_familiaris_1	CAFA1	1	SRA	SE	Canis_familiaris	5		PRJNA382537	SRR5443379	SAMN06708667	SRX2732742	Sudharsan_Beltran_2017_InvolvementInnateImmune	https://doi.org/10.1038/s41598-017-18236-7
Canis_familiaris_2	CAFA2	2	SRA	SE	Canis_familiaris	5		PRJNA382537	SRR5443380	SAMN06708675	SRX2732743	Sudharsan_Beltran_2017_InvolvementInnateImmune	https://doi.org/10.1038/s41598-017-18236-7
Canis_familiaris_3	CAFA3	3	SRA	PE	Canis_familiaris	5		PRJNA327075	SRR3727711	SAMN05300665	SRX1884097	NoReferencePaper	
Canis_familiaris_4	CAFA4	4	NNRL	SE	Canis_familiaris	5	R32012-175						
